        Length / m                curve1_e-field (f=1) (2)/real
               1480.1873                      0.11759583
               1482.6833                      0.11741149
               1485.1794                      0.11722741
               1487.6755                       0.1170436
               1490.1716                      0.11686003
               1492.6677                      0.11667674
               1495.1638                      0.11649371
               1497.6599                      0.11631094
               1500.1561                      0.11612844
               1502.6522                      0.11594621
               1505.1483                      0.11576425
               1507.6444                      0.11558256
               1510.1405                      0.11540113
               1512.6366                      0.11521999
               1515.1327                      0.11503912
               1517.6288                      0.11485851
               1520.1249                      0.11467819
                1522.621                      0.11449815
               1525.1171                      0.11431838
               1527.6132                       0.1141389
               1530.1093                       0.1139597
               1532.6053                      0.11378078
               1535.1014                      0.11360215
               1537.5975                       0.1134238
               1540.0936                      0.11324573
               1542.5897                      0.11306796
               1545.0858                      0.11289048
               1547.5819                      0.11271329
               1550.0781                      0.11253639
               1552.5742                      0.11235978
               1555.0703                      0.11218347
               1557.5664                      0.11200746
               1560.0625                      0.11183174
               1562.5586                      0.11165633
               1565.0547                      0.11148121
               1567.5508                      0.11130641
               1570.0469                       0.1111319
                1572.543                       0.1109577
               1575.0391                      0.11078381
               1577.5352                      0.11061022
               1580.0313                      0.11043694
               1582.5273                      0.11026398
               1585.0234                      0.11009133
               1587.5195                      0.10991899
               1590.0156                      0.10974697
               1592.5117                      0.10957526
               1595.0078                      0.10940387
               1597.5039                      0.10923281
                    1600                      0.10906206

